artist_name,Year,total_streams,total_minutes,first_stream,last_stream,unique_tracks,unique_albums,avg_stream_length_minutes
? & The Mysterians,2021,2,3.33,2021-04-30,2021-05-08,1,1,1.67
'Til Tuesday,2019,3,1.02,2019-12-05,2019-12-05,1,1,0.34
"""The Professor"" Nick Harrison",2025,15,38.55,2025-11-14,2025-12-01,8,3,2.57
"""The Professor"" Nick Harrison",2026,3,5.4,2026-01-12,2026-02-09,2,2,1.8
"""Weird Al"" Yankovic",2015,1,0.48,2015-02-27,2015-02-27,1,1,0.48
"""Weird Al"" Yankovic",2016,2,7.17,2016-11-05,2016-11-05,2,2,3.58
"""Weird Al"" Yankovic",2019,5,16.15,2019-12-10,2019-12-25,1,1,3.23
"""Weird Al"" Yankovic",2020,3,12.1,2020-12-03,2020-12-25,1,1,4.03
"""Weird Al"" Yankovic",2021,8,10.33,2021-02-06,2021-10-21,4,4,1.29
"""Weird Al"" Yankovic",2022,2,4.97,2022-03-26,2022-12-25,2,2,2.48
"""Weird Al"" Yankovic",2024,4,12.53,2024-03-12,2024-12-01,3,2,3.13
"""Weird Al"" Yankovic",2025,15,36.55,2025-01-06,2025-09-23,1,1,2.44
[SEBELL],2017,1,1.95,2017-03-27,2017-03-27,1,1,1.95
[SEBELL],2020,13,44.42,2020-07-03,2020-12-15,1,1,3.42
[SEBELL],2021,28,93.25,2021-01-12,2021-12-21,1,1,3.33
[SEBELL],2022,21,68.53,2022-01-05,2022-12-29,1,1,3.26
[SEBELL],2023,15,47.93,2023-01-05,2023-11-13,1,1,3.2
[SEBELL],2024,16,51.4,2024-01-02,2024-12-30,2,2,3.21
[SEBELL],2025,4,13.8,2025-01-05,2025-11-23,1,1,3.45
*67,2023,1,2.5,2023-03-02,2023-03-02,1,1,2.5
*NSYNC,2019,3,10.0,2019-10-28,2019-11-02,1,1,3.33
*NSYNC,2020,4,16.08,2020-01-07,2020-12-25,2,2,4.02
*NSYNC,2021,1,4.07,2021-11-18,2021-11-18,1,1,4.07
*NSYNC,2022,40,121.95,2022-04-11,2022-12-25,4,2,3.21
*NSYNC,2023,24,73.92,2023-01-06,2023-12-19,2,1,3.08
*NSYNC,2024,10,33.33,2024-01-27,2024-12-31,1,1,3.33
*NSYNC,2025,10,33.33,2025-01-13,2025-12-02,1,1,3.33
*NSYNC,2026,5,16.67,2026-02-02,2026-03-18,1,1,3.33
+44,2019,13,41.8,2019-11-01,2019-12-31,1,1,3.22
+44,2024,2,3.77,2024-10-03,2024-10-03,1,1,1.88
+44,2025,15,52.77,2025-01-18,2025-11-16,1,1,3.52
+44,2026,1,0.18,2026-03-17,2026-03-17,1,1,0.18
0171,2022,4,12.03,2022-12-01,2022-12-26,1,1,3.01
0171,2023,16,54.75,2023-01-03,2023-12-19,1,1,3.42
0171,2024,20,73.0,2024-01-19,2024-11-28,1,1,3.65
0171,2025,15,47.57,2025-01-17,2025-11-25,1,1,3.17
10 Years,2016,8,30.67,2016-11-06,2016-11-11,1,1,3.83
10 Years,2017,45,172.5,2017-01-03,2017-03-29,1,1,3.83
10 Years,2019,66,229.88,2019-10-20,2019-12-29,7,4,3.48
10 Years,2020,59,211.48,2020-01-10,2020-12-22,7,4,3.58
10 Years,2021,66,228.8,2021-01-05,2021-12-31,1,1,3.47
10 Years,2022,84,284.87,2022-01-11,2022-12-28,7,4,3.39
10 Years,2023,131,445.22,2023-01-01,2023-12-29,9,5,3.4
10 Years,2024,129,432.88,2024-01-01,2024-12-31,12,8,3.36
10 Years,2025,94,329.78,2025-01-01,2025-12-28,12,8,3.51
10 Years,2026,15,50.9,2026-01-03,2026-05-23,5,3,3.39
100 gecs,2020,1,2.38,2020-07-25,2020-07-25,1,1,2.38
100 gecs,2022,2,1.0,2022-12-01,2022-12-06,2,2,0.5
100 gecs,2024,2,6.57,2024-12-12,2024-12-30,1,1,3.28
100 gecs,2025,15,44.12,2025-01-18,2025-12-16,1,1,2.94
100 gecs,2026,6,16.58,2026-01-03,2026-02-16,1,1,2.76
10cc,2020,1,5.63,2020-06-14,2020-06-14,1,1,5.63
112,2023,1,0.07,2023-09-30,2023-09-30,1,1,0.07
12 Stones,2017,2,2.43,2017-03-24,2017-03-27,1,1,1.22
12 Stones,2019,72,241.22,2019-10-20,2019-12-29,5,3,3.35
12 Stones,2020,22,73.08,2020-01-27,2020-12-17,6,3,3.48
12 Stones,2021,34,102.47,2021-01-15,2021-12-18,1,1,3.01
12 Stones,2022,48,164.6,2022-01-06,2022-12-28,4,2,3.43
12 Stones,2023,61,207.48,2023-01-02,2023-12-30,4,2,3.46
12 Stones,2024,79,265.53,2024-01-07,2024-12-17,4,3,3.36
12 Stones,2025,59,198.17,2025-01-02,2025-12-31,4,2,3.36
12 Stones,2026,13,45.9,2026-01-06,2026-05-25,4,2,3.53
12dust,2020,2,5.83,2020-10-16,2020-10-16,1,1,2.92
1551,2019,1,3.72,2019-12-31,2019-12-31,1,1,3.72
1551,2020,2,4.23,2020-01-02,2020-01-05,1,1,2.12
