YEAR,MONTH,hour_of_day,hour_label,streams,minutes_played
2014,7,0,12 AM,3,4.85
2014,7,3,3 AM,4,4.28
2014,7,4,4 AM,16,26.65
2014,7,5,5 AM,29,52.7
2014,7,6,6 AM,23,47.0
2014,7,7,7 AM,15,50.82
2014,7,11,11 AM,1,1.35
2015,2,0,12 AM,24,60.1
2015,2,1,1 AM,30,85.07
2015,2,2,2 AM,34,112.03
2015,2,3,3 AM,32,99.82
2015,2,4,4 AM,42,123.02
2015,2,5,5 AM,37,124.65
2015,2,6,6 AM,14,52.57
2015,2,7,7 AM,32,105.8
2015,2,8,8 AM,31,113.68
2015,2,9,9 AM,29,110.43
2015,2,10,10 AM,32,114.5
2015,2,11,11 AM,30,112.27
2015,2,12,12 PM,16,59.0
2015,2,13,1 PM,29,102.93
2015,2,14,2 PM,6,21.58
2015,2,15,3 PM,6,12.73
2015,2,16,4 PM,16,57.42
2015,2,17,5 PM,21,73.95
2015,2,18,6 PM,32,111.78
2015,2,19,7 PM,15,54.77
2015,2,20,8 PM,15,58.67
2015,2,21,9 PM,27,84.18
2015,2,22,10 PM,47,150.1
2015,2,23,11 PM,31,89.88
2015,3,0,12 AM,6,24.15
2015,3,4,4 AM,14,46.87
2015,3,5,5 AM,13,47.2
2015,3,7,7 AM,8,26.98
2015,3,8,8 AM,16,58.33
2015,3,9,9 AM,17,56.93
2015,3,10,10 AM,15,56.42
2015,3,11,11 AM,15,57.78
2015,3,12,12 PM,4,17.0
2015,3,15,3 PM,11,38.87
2015,3,16,4 PM,15,55.33
2015,3,17,5 PM,15,56.67
2015,3,18,6 PM,18,56.83
2015,3,19,7 PM,17,57.8
2015,3,20,8 PM,17,57.35
2015,3,21,9 PM,17,55.95
2015,3,22,10 PM,42,58.15
2015,3,23,11 PM,11,29.4
2016,7,0,12 AM,3,4.32
2016,7,1,1 AM,1,0.13
2016,11,0,12 AM,49,131.9
2016,11,1,1 AM,52,160.13
2016,11,2,2 AM,77,235.12
2016,11,3,3 AM,80,284.3
2016,11,4,4 AM,82,252.57
2016,11,5,5 AM,114,382.85
2016,11,6,6 AM,114,417.12
2016,11,7,7 AM,127,457.5
2016,11,8,8 AM,116,417.33
2016,11,9,9 AM,114,406.52
2016,11,10,10 AM,115,418.8
2016,11,11,11 AM,110,415.8
2016,11,12,12 PM,115,414.13
2016,11,13,1 PM,94,357.58
2016,11,14,2 PM,74,285.0
2016,11,15,3 PM,77,267.95
2016,11,16,4 PM,93,315.05
2016,11,17,5 PM,70,215.53
2016,11,18,6 PM,90,295.82
2016,11,19,7 PM,71,254.83
2016,11,20,8 PM,56,207.7
2016,11,21,9 PM,68,238.07
2016,11,22,10 PM,51,173.15
2016,11,23,11 PM,50,166.18
2016,12,3,3 AM,3,1.08
2016,12,16,4 PM,6,18.47
2016,12,19,7 PM,8,24.38
2016,12,20,8 PM,18,37.22
2016,12,22,10 PM,1,0.2
2017,1,0,12 AM,280,1000.88
2017,1,1,1 AM,290,996.08
2017,1,2,2 AM,284,977.15
2017,1,3,3 AM,358,1148.97
2017,1,4,4 AM,326,1095.3
2017,1,5,5 AM,339,1166.57
2017,1,6,6 AM,334,1083.25
2017,1,7,7 AM,309,1059.08
2017,1,8,8 AM,343,1201.33
2017,1,9,9 AM,370,1344.17
2017,1,10,10 AM,409,1474.18
2017,1,11,11 AM,409,1492.43
2017,1,12,12 PM,443,1591.12
2017,1,13,1 PM,422,1551.58
2017,1,14,2 PM,406,1465.92
2017,1,15,3 PM,398,1419.82
2017,1,16,4 PM,389,1439.93
2017,1,17,5 PM,362,1330.22
2017,1,18,6 PM,358,1308.77
2017,1,19,7 PM,389,1316.67
2017,1,20,8 PM,325,1133.83
2017,1,21,9 PM,356,1236.68
2017,1,22,10 PM,326,1076.5
2017,1,23,11 PM,257,903.95
2017,2,0,12 AM,216,772.95
2017,2,1,1 AM,257,887.92
2017,2,2,2 AM,250,873.15
2017,2,3,3 AM,325,1114.58
2017,2,4,4 AM,356,1197.27
2017,2,5,5 AM,379,1233.25
2017,2,6,6 AM,376,1278.17
2017,2,7,7 AM,387,1291.65
2017,2,8,8 AM,368,1300.13
2017,2,9,9 AM,389,1366.98
2017,2,10,10 AM,374,1343.9
2017,2,11,11 AM,367,1343.92
2017,2,12,12 PM,375,1371.47
2017,2,13,1 PM,358,1305.83
2017,2,14,2 PM,340,1218.8
2017,2,15,3 PM,320,1146.07
2017,2,16,4 PM,301,986.73
2017,2,17,5 PM,287,802.38
2017,2,18,6 PM,232,734.83
2017,2,19,7 PM,201,697.12
2017,2,20,8 PM,263,909.03
2017,2,21,9 PM,272,959.1
2017,2,22,10 PM,259,882.22
2017,2,23,11 PM,284,789.48
2017,3,0,12 AM,182,625.8
2017,3,1,1 AM,249,789.37
2017,3,2,2 AM,380,1219.97
2017,3,3,3 AM,427,1474.63
2017,3,4,4 AM,431,1563.87
2017,3,5,5 AM,426,1574.62
2017,3,6,6 AM,439,1607.38
2017,3,7,7 AM,438,1631.43
2017,3,8,8 AM,434,1576.68
2017,3,9,9 AM,453,1598.6
2017,3,10,10 AM,441,1632.28
2017,3,11,11 AM,437,1603.15
2017,3,12,12 PM,404,1433.12
2017,3,13,1 PM,369,1362.03
2017,3,14,2 PM,388,1328.35
2017,3,15,3 PM,352,1053.28
2017,3,16,4 PM,242,719.23
2017,3,17,5 PM,167,532.63
2017,3,18,6 PM,215,689.88
2017,3,19,7 PM,182,629.63
2017,3,20,8 PM,166,518.42
