spotify_id,spotify_uri,track_name,artist_name,album_name,release_date,added_to_library,duration_ms,popularity
6Bd6dcMIg6EPfF7cYTWa36,spotify:track:6Bd6dcMIg6EPfF7cYTWa36,EMERALD EYES,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,156856,
06sZjwAy4DTJfpOuel7nv4,spotify:track:06sZjwAy4DTJfpOuel7nv4,SAME STARS,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,199858,
4BSeso8HRRJVQzYdKi1YOX,spotify:track:4BSeso8HRRJVQzYdKi1YOX,PASSENGER,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,159771,
5QccUp5xZ4pp9cZOHnZJLU,spotify:track:5QccUp5xZ4pp9cZOHnZJLU,RESCUER,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,199166,
649sdeRNPf05BOLBj1mAM9,spotify:track:649sdeRNPf05BOLBj1mAM9,CRY WOLF,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,161698,
2HZ75yrPInJwVW6te9OlDg,spotify:track:2HZ75yrPInJwVW6te9OlDg,FINE PLACE TO DIE,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,187423,
5U0A00hCV85tCnencZkC0b,spotify:track:5U0A00hCV85tCnencZkC0b,"ARE YOU HAVING FUN, ALEX?",Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,86591,
40bEIQPOf8bKNvmVnJxJhf,spotify:track:40bEIQPOf8bKNvmVnJxJhf,I MISS YOU MORE,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,184251,
2nmrNr1Qs04TwLdNEOVOuE,spotify:track:2nmrNr1Qs04TwLdNEOVOuE,ONLY THING LEFT,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,214887,
50E5Op3ZjRibJGZjGBcGR6,spotify:track:50E5Op3ZjRibJGZjGBcGR6,FEVER DREAM,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,153430,
7HX5CyrZ0SX9HBqg4uPR50,spotify:track:7HX5CyrZ0SX9HBqg4uPR50,WON'T GO BACK AGAIN,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,168343,
3sOa0MNB49lZnqRVgv6XJF,spotify:track:3sOa0MNB49lZnqRVgv6XJF,LAST TIME,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,196854,
7vVGJVgv76NZGm2ze96JeX,spotify:track:7vVGJVgv76NZGm2ze96JeX,WILDCHILD,Alex Warren,WILDCHILD,2026-08-28,2026-08-28 18:33:37,247692,
3i6qNxyVgIdUZTTi5m25EM,spotify:track:3i6qNxyVgIdUZTTi5m25EM,Bitch,Meredith Brooks,Blurring The Edges,1997-01-01,2026-08-28 12:44:25,252760,
