played_at,spotify_id,spotify_uri,track_name,artist_name,album_name,duration_ms
2026-08-02 21:53:30.573,7jsScIlhxzUc0jHcH1MiWb,spotify:track:7jsScIlhxzUc0jHcH1MiWb,Drag Me Under,Sleep Token,Sundowning (Deluxe),236760
2026-08-02 21:49:33.463,4dWFBTcbArJxUjYy6dOsCz,spotify:track:4dWFBTcbArJxUjYy6dOsCz,Lifetime,Livingston,A Hometown Odyssey,217107
2026-08-02 21:45:55.922,12EW1z5gQTRWNODReyLsAW,spotify:track:12EW1z5gQTRWNODReyLsAW,Edge,MOD SUN,Internet Killed The Rockstar (Deluxe),178688
2026-08-02 21:42:56.790,31FVK7g99Nn15DOY6yYFuT,spotify:track:31FVK7g99Nn15DOY6yYFuT,Take It All Back 2.0,Judah & the Lion,Folk Hop n' Roll (Deluxe),218355
2026-08-02 21:38:59.150,254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),226653
2026-08-02 21:35:12.138,7yCyhsU75MYdbeqRLhLY51,spotify:track:7yCyhsU75MYdbeqRLhLY51,smiling when i die,Sasha Alex Sloan,smiling when i die,206436
2026-08-02 21:31:45.286,079mntueS2KWjxVqOHjG70,spotify:track:079mntueS2KWjxVqOHjG70,Flowers Need Rain,"Preston Pablo, Banx & Ranx",Flowers Need Rain,168126
2026-08-02 21:28:56.780,4k80K0b6KZ2QjAYkXON7q6,spotify:track:4k80K0b6KZ2QjAYkXON7q6,Blow Me,P!nk,The Truth About Love,256781
2026-08-02 21:24:39.577,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,244973
2026-08-02 21:20:34.230,2ICkdUHcp1LpvKaShCn6p8,spotify:track:2ICkdUHcp1LpvKaShCn6p8,Save Urself,CHROMERA,Save Urself,150473
2026-08-02 21:18:03.343,1HbCjUms6K0N050AHHMolN,spotify:track:1HbCjUms6K0N050AHHMolN,Devotion,Coleman Hell,Summerland,200762
2026-08-02 21:14:42.229,1S30kHvkkdMkcuCTGSgS41,spotify:track:1S30kHvkkdMkcuCTGSgS41,Nine in the Afternoon - Single Mix,Panic! At The Disco,Pretty. Odd.,191560
2026-08-02 21:11:30.320,11RBiki495Yx9NejNCRSr4,spotify:track:11RBiki495Yx9NejNCRSr4,Cowboy Break My Heart - Take 1,Tanner Adell,Cowboy Break My Heart - Take 1,203888
2026-08-02 21:08:06.101,2FHMM1A7ozaPLn0wIY4SET,spotify:track:2FHMM1A7ozaPLn0wIY4SET,Troglodyte,Viagra Boys,Cave World,199732
2026-08-02 21:04:45.942,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),Lou Bega,A Little Bit of Mambo,220293
2026-08-02 21:01:05.291,0CwYG1UnRmOx8Q1EzElCIL,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,Second Chance,Shinedown,The Sound of Madness,222066
2026-08-02 20:57:22.821,7lb5rZQ1y2NtIxu20Xjb3W,spotify:track:7lb5rZQ1y2NtIxu20Xjb3W,Nobody's Gonna Save My Soul,Sin Shake Sin,The Mess We've Made,211995
2026-08-02 20:53:50.481,2otbsnVK616yk3OR2u445o,spotify:track:2otbsnVK616yk3OR2u445o,Who Am I,Like We Are,Your Diary,206542
2026-08-02 20:50:23.554,7cITfGsdjGaTP0b5oiLL0z,spotify:track:7cITfGsdjGaTP0b5oiLL0z,You're Not Alone,Saosin,Saosin,238053
2026-08-02 20:46:25.128,25ji0D3bOxIQ1GRKACLJWW,spotify:track:25ji0D3bOxIQ1GRKACLJWW,Someone Else's Dream,Tyler Posey,Drugs,196275
2026-08-02 20:43:08.441,5O668zpvilJfTTGuuS7CNN,spotify:track:5O668zpvilJfTTGuuS7CNN,Here Comes The Shock,Green Day,Here Comes The Shock,154069
